presenca,presLed,luminosidade,luzLed
9.106382979,211.5957447,708.106383,249.5744681
10,255,709.7708333,244.375
10,255,711.9787234,244.1489362
10,255,712.9148936,249.5744681
10,255,709.8222222,243.9130435
10,255,712.5319149,249.4565217
9.574468085,228.4375,707.9361702,244.1489362
9.574468085,227.2826087,712.2608696,249.4565217
10,255,714.3404255,244.375
10,255,713.5531915,249.5744681
10,255,709.2553191,243.9130435
9.487179487,222.3076923,702.6666667,222.3076923
10,255,709.8913043,243.9130435
10,255,713.0208333,249.7959184
9.916666667,255,707.5102041,244.375
9.458333333,228.4375,710.8085106,249.5744681
10,255,712,244.1489362
10,255,713.7755102,244.5918367
10,255,715.8,249.9
9.707317073,255,712.75,248.625
8.978723404,227.8723404,713.4166667,244.375
10,255,712.5106383,249.5744681
10,255,713.5641026,241.9230769
9.545454545,226.0227273,713.3953488,243.1395349
10,255,708.7380952,243.1395349
10,255,712.1,249.7959184
9.6,229.5,714.9,244.8
9.583333333,228.4375,705.9791667,223.125
10,255,711.2244898,249.7959184
10,255,715.0208333,244.375
9.591836735,228.9795918,715.5714286,244.5918367
10,255,715.8409091,249.2045455
10,255,715.7446809,244.1489362
10,255,717.4489796,249.9
10,255,716.375,244.1489362
10,255,718.3617021,249.6875
10,255,714.4418605,242.8571429
10,255,716.6818182,249.2045455
10,255,715.1956522,243.9130435
10,255,716.6595745,249.5744681
9.555555556,226.6666667,715.4888889,243.6666667
10,255,717.9347826,249.4565217
9.583333333,228.4375,707.4166667,223.125
10,255,716.4042553,244.1489362
9.066666667,198.3333333,719.1777778,249.3333333
9.833333333,255,718.5416667,244.375
9.6,255,720.2222222,249.3333333
9.958333333,255,714.9791667,239.3877551
9.387755102,228.9795918,715.3877551,244.375
10,255,714.212766,244.1489362
10,255,716.6666667,244.375
9.166666667,201.875,698.6041667,175.3125
8.75,201.875,614.5416667,0
10,255,614.195122,0
9.6,229.5,629.36,0
9.574468085,227.8723404,629.8085106,0
9.375,228.4375,623.875,0
9.14893617,200.7446809,629.2765957,0
10,255,622.8958333,0
10,255,607.6458333,0
9.361702128,227.8723404,619.4893617,0
9.591836735,228.4375,625.25,0
9.555555556,226.6666667,622.0444444,0
9.574468085,227.8723404,628.1914894,0
9.583333333,228.4375,630.3958333,0
10,255,629.1702128,0
9.130434783,199.5652174,628.826087,0
10,255,631.5208333,0
10,255,622.9787234,0
10,255,627.4693878,0
10,255,615.1041667,0
10,255,520.4166667,0
10,255,619.4468085,0
10,255,629.0638298,0
10,255,610.68,0
10,255,604.4285714,0
10,255,604.9148936,0
10,255,607.2708333,0
10,255,606.8510638,0
10,255,605,0
9.791666667,255,592.4166667,0
10,255,601.5102041,0
10,255,620.1914894,0
9.795918367,255,618.8163265,0
10,255,616.2244898,0
9.6,229.5,612.6122449,0
10,255,618.9555556,0
10,255,618.4791667,0
10,255,610.625,0
10,255,582.2857143,0
9.272727273,208.6363636,578.2444444,0
9.836734694,244.5918367,572.625,0
9.574468085,227.8723404,572.1276596,0
10,255,578.1304348,0
8.958333333,228.4375,578.3829787,0
9.534883721,225.3488372,578.4090909,0
9.583333333,228.4375,572.7659574,0
10,255,576.6808511,0
9.545454545,226.6666667,564.5111111,0
10,255,574.125,0
10,255,571.9268293,0
10,255,576.92,0
10,255,575.3478261,0
10,255,580.6808511,0
10,255,606,0
10,255,637.3333333,0
10,255,640.2653061,0
9.791666667,255,643.2553191,0
9.090909091,226.0227273,646.1818182,0
9.534883721,226.0227273,653.8181818,0
9.777777778,255,648.9111111,0
10,255,650.5319149,0
10,255,663,0
9.111111111,198.3333333,596.3913043,0
8.608695652,194.0217391,138.3555556,0
9.627906977,231.2790698,136.0465116,0
8.666666667,170,136.4,0
10,255,137.5217391,0
8.833333333,201.875,137.875,0
9.130434783,205.1086957,138,0
8.318181818,191.25,137.6818182,0
9.591836735,228.9795918,139.1836735,0
8.717948718,222.3076923,138.0769231,0
10,255,137.3333333,0
7.317073171,130.6097561,138.7560976,0
7.380952381,106.744186,138.7906977,0
8.489795918,166.5306122,138.3265306,0
7.304347826,110.8695652,120.9347826,0
8.76,192.5510204,27.55102041,0
8.636363636,168.0681818,24.13636364,0
9.317073171,211.4634146,23.80487805,0
8.093023256,148.255814,23.6744186,0
8.619047619,212.5,23.5952381,0
8.487804878,174.1463415,23.3902439,0
9.75,255,23.325,0
9.024390244,223.902439,23.17073171,0
8.8,229.5,23.16,0
9,217.8125,23.375,0
8.765957447,185.9375,23.25,0
7.644444444,170,23.11111111,0
8.914285714,255,23.02941176,0
9.024390244,194.2857143,23.14285714,0
9.8,255,23.04081633,0
8.75,201.875,22.97916667,0
9.25,223.125,23.175,0
8.333333333,184.1666667,22.94444444,0
8.15,197.625,23.02439024,0
7.428571429,145.7142857,23,0
9.333333333,226.6666667,22.97777778,0
9.777777778,255,23,0
9.268292683,223.902439,23.05,0
8,204,23.04,0
8.540540541,213.6486486,23.13513514,0
7.9375,143.4375,23.28125,0
8.114285714,182.1428571,23.25714286,0
8.3125,175.3125,23.12121212,0
7.764705882,150,23.15151515,0
